

KoltsoLodet						{Josephine Lodet's Ring}
KoltsoLodet_Lvl					{1}
KoltsoLodet_Desc				{Taken from an old lady walking the streets of Basse-Terre.}
KoltsoLodet_Spec				{}

ProklyatayaJara					{Goddamn heat}
ProklyatayaJara_Lvl				{1}
ProklyatayaJara_Desc			{Taken from a soldier on duty at Fort de France.}
ProklyatayaJara_Spec			{}

NaitiTorgovtsa					{Find a townswoman's husband}
NaitiTorgovtsa_Lvl				{1}
NaitiTorgovtsa_Desc				{Taken from a woman on the streets of Willemstad.}
NaitiTorgovtsa_Spec				{}

DengiRost						{Money in growth}
DengiRost_Lvl					{1}
DengiRost_Desc					{Taken from usurer in Willemstad.}
DengiRost_Spec					{}

SpastiMuja						{Rescue of a townswoman's husband from captivity}
SpastiMuja_Lvl					{1}
SpastiMuja_Desc					{Taken from a woman walking the streets of Port-au-Prince.}
SpastiMuja_Spec					{}

Aptekar							{Pharmacist}
Aptekar_Lvl						{1}
Aptekar_Desc					{Taken at a pharmacy in Marigo.}
Aptekar_Spec					{}

NaitiMushket					{Find a double-barrel musket}
NaitiMushket_Lvl				{1}
NaitiMushket_Desc				{Taken from a retired musketeer who lives in a house with a staircase on the second floor in Port of Spain.}
NaitiMushket_Spec				{}

ClanLambrini					{Lambrini Clan}
ClanLambrini_Lvl				{1}
ClanLambrini_Desc				{Taken from a smuggler in a tavern in Port of Spain.}
ClanLambrini_Spec				{Requires a reputation no lower than "Man of Honor".}

Rimalie							{Rimalie}
Rimalie_Lvl						{1}
Rimalie_Desc					{Taken from a hermit on the desert island of Tobago.}
Rimalie_Spec					{}

OpasnyGruz						{Dangerous cargo}
OpasnyGruz_Lvl					{1}
OpasnyGruz_Desc					{Taken from the commandant of the fort in Cumana.}
OpasnyGruz_Spec					{}

Ascold							{Search for Mummy Powder}
Ascold_Lvl						{1}
Ascold_Desc						{Taken from a storekeeper in any colony.}
Ascold_Spec						{}

Rabotorgovets					{Slavetrader}
Rabotorgovets_Lvl				{1}
Rabotorgovets_Desc				{Taken from a random usurer in archipelago.}
Rabotorgovets_Spec				{}

ShamankaChani					{Shaman Chani}
ShamankaChani_Lvl				{1}
ShamankaChani_Desc				{Taken from a shaman in an Indian village on West Main.}
ShamankaChani_Spec				{}

PomoshElen						{Help to Helen}
PomoshElen_Lvl					{1}
PomoshElen_Desc					{Taken from a beauty on the street in Puerto Principe.}
PomoshElen_Spec					{Requires a reputation no lower than "Honest Captain."}

TravlyaKrys						{Rat baiting}
TravlyaKrys_Lvl					{1}
TravlyaKrys_Desc				{Taken from the head of any pirate settlement.}
TravlyaKrys_Spec				{}

Looser							{Losing player}
Looser_Lvl						{1}
Looser_Desc						{Taken from a random player in tavern.}
Looser_Spec						{Could be taken randomly with an 8% probability.}

StroitelstvoKolonii				{Colony construction}
StroitelstvoKolonii_Lvl			{1}
StroitelstvoKolonii_Desc		{It is taken from a German old man walking the streets of Charlestown. After fulfilling his request, he will settle in one of the houses of Port Royal.}
StroitelstvoKolonii_Spec		{}

ProklyatyIdol					{Cursed idol}
ProklyatyIdol_Lvl				{3}
ProklyatyIdol_Desc				{Taken from a pirate in La Vega tavern.}
ProklyatyIdol_Spec				{}

NeputyovyKaznachey				{Wayward Treasurer}
NeputyovyKaznachey_Lvl			{3}
NeputyovyKaznachey_Desc			{Taken from a man with glasses walking the streets of Willemstad.}
NeputyovyKaznachey_Spec			{}

Dozor							{The Watch}
Dozor_Lvl						{3}
Dozor_Desc						{Taken from a man on streets of Bernudes.}
Dozor_Spec						{Requires to pay 20,000 piastres.}

Ostin							{Austin's Gang}
Ostin_Lvl						{3}
Ostin_Desc						{Taken from bandits on the street in certain cities: St. John's, Santa Catalina, Cartagena, Panama, Fort de France, Marigo.}
Ostin_Spec						{}

SpasenieNaRifah					{Miraculous rescue on the reefs}
SpasenieNaRifah_Lvl				{5}
SpasenieNaRifah_Desc			{Taken from a merchant with glasses, walking the streets of Port Royal.}
SpasenieNaRifah_Spec			{}

SinyaPtitsa						{Destroy Xebec 'Blue Bird'}
SinyaPtitsa_Lvl					{5}
SinyaPtitsa_Desc				{Taken from a shopkeeper of any settlement other than pirate.}
SinyaPtitsa_Spec				{}

KotVMeshke						{Cat in a Bag}
KotVMeshke_Lvl					{5}
KotVMeshke_Desc					{Taken from a fisherman near the pier in Santo Domingo.}
KotVMeshke_Spec					{}

Kuali							{Macuahuitl for Kuali}
Kuali_Lvl						{5}
Kuali_Desc						{Taken from an indian in an Indian village in West Main.}
Kuali_Spec						{}

FleitOrion						{Accompaniment of the 'Orion' fluyt}
FleitOrion_Lvl					{5}
FleitOrion_Desc					{Taken from innkeeper in Fort de France tavern.}
FleitOrion_Spec					{}

